Time, Watermark_scale_factor
2.85, 190
3.43, 190
4.05, 130
4.71, 130
5.31, 70
5.93, 70
6.59, 70
7.25, 70
7.85, 70
8.48, 70
9.08, 70
9.66, 70
10.25, 70
10.83, 70
11.37, 70
11.93, 70
12.49, 70
13.05, 70
13.63, 190
14.24, 251
14.86, 251
15.47, 251
16.09, 251
16.70, 251
17.31, 251
17.93, 311
18.54, 311
19.16, 311
19.77, 311
20.39, 311
20.96, 310
21.54, 371
22.11, 371
22.73, 371
23.34, 371
23.93, 371
24.58, 371
25.24, 371
25.91, 432
26.57, 432
27.23, 432
27.90, 432
28.57, 432
29.23, 432
29.90, 432
30.56, 371
31.17, 311
31.78, 310
32.38, 310
32.99, 310
33.60, 310
34.21, 310
34.82, 310
35.42, 310
36.03, 310
36.64, 310
37.25, 310
37.85, 310
38.46, 310
39.07, 310
39.68, 310
40.28, 310
40.89, 310
41.50, 310
